epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,9.21016,1.36263,1.56103,0.61587,0.03643,0.4755,0.03419,0.01354,0.9839,1.29008,0.42852,0.00018,0.00018,0.00018
2,15.9272,0.9282,0.89108,0.37974,0.34127,0.70317,0.35202,0.18087,0.51511,0.9272,0.20887,0.000376238,0.000376238,0.000376238
3,23.1384,0.90401,0.71101,0.38242,0.37371,0.75836,0.43895,0.23002,0.4989,0.80707,0.19986,0.000568516,0.000568516,0.000568516
4,30.305,0.639,0.59575,0.2178,0.57243,0.79251,0.58285,0.29094,0.54153,0.71988,0.22645,0.000756834,0.000756834,0.000756834
5,37.1522,0.57848,0.51563,0.19748,0.69261,0.79827,0.70953,0.38537,0.55245,0.55964,0.21781,0.000941192,0.000941192,0.000941192
6,44.2722,0.65302,0.51552,0.26931,0.67856,0.68588,0.60109,0.28208,0.71904,0.57327,0.29651,0.00112159,0.00112159,0.00112159
7,51.1307,0.76632,0.45997,0.27722,0.67856,0.68588,0.60109,0.28208,0.71904,0.57327,0.29651,0.00129803,0.00129803,0.00129803
8,58.0622,0.69206,0.51572,0.27595,0.69691,0.72334,0.63694,0.30955,0.70174,0.55207,0.28737,0.00147051,0.00147051,0.00147051
9,64.96,0.764,0.49628,0.30643,0.66911,0.75175,0.7022,0.28544,0.7108,0.50526,0.26677,0.00163902,0.00163902,0.00163902
10,71.5916,0.7406,0.4921,0.25926,0.66911,0.75175,0.7022,0.28544,0.7108,0.50526,0.26677,0.00180358,0.00180358,0.00180358
11,78.5269,0.65614,0.63929,0.25806,0.77134,0.68876,0.68677,0.38539,0.74128,0.62406,0.31697,0.001802,0.001802,0.001802
12,85.446,0.74213,0.66275,0.27687,0.59835,0.76657,0.68842,0.39475,0.50783,1.00454,0.18758,0.0017822,0.0017822,0.0017822
13,92.2867,0.60939,0.82866,0.21059,0.59835,0.76657,0.68842,0.39475,0.50783,1.00454,0.18758,0.0017624,0.0017624,0.0017624
14,99.3174,0.54346,0.7106,0.19555,0.63876,0.66754,0.65146,0.36656,0.5428,0.57166,0.21538,0.0017426,0.0017426,0.0017426
15,106.205,0.48777,0.5364,0.17277,0.68173,0.65994,0.68207,0.41091,0.54506,0.57188,0.21296,0.0017228,0.0017228,0.0017228
16,112.968,0.5088,0.57735,0.19713,0.68173,0.65994,0.68207,0.41091,0.54506,0.57188,0.21296,0.001703,0.001703,0.001703
17,120.036,0.54558,0.55376,0.18283,0.73496,0.77516,0.76529,0.46009,0.54671,0.51353,0.2169,0.0016832,0.0016832,0.0016832
18,127.297,0.52126,0.47222,0.19123,0.73496,0.77516,0.76529,0.46009,0.54671,0.51353,0.2169,0.0016634,0.0016634,0.0016634
19,134.349,0.51079,0.46816,0.1983,0.73275,0.72046,0.75343,0.48403,0.58997,0.4939,0.23854,0.0016436,0.0016436,0.0016436
20,141.19,0.5232,0.46612,0.17001,0.74064,0.74066,0.78625,0.51734,0.55758,0.48044,0.2213,0.0016238,0.0016238,0.0016238
21,148.452,0.52253,0.46302,0.18546,0.74064,0.74066,0.78625,0.51734,0.55758,0.48044,0.2213,0.001604,0.001604,0.001604
22,155.28,0.53106,0.46419,0.18647,0.80365,0.7903,0.84597,0.5425,0.46942,0.48084,0.17566,0.0015842,0.0015842,0.0015842
23,162.432,0.46966,0.45176,0.15994,0.81142,0.85014,0.87936,0.56907,0.41183,0.49412,0.15418,0.0015644,0.0015644,0.0015644
24,169.339,0.49943,0.46123,0.17673,0.81142,0.85014,0.87936,0.56907,0.41183,0.49412,0.15418,0.0015446,0.0015446,0.0015446
25,176.61,0.48044,0.47561,0.14951,0.82142,0.84839,0.89434,0.59453,0.38358,0.50475,0.14731,0.0015248,0.0015248,0.0015248
26,183.735,0.4431,0.52524,0.14317,0.82142,0.84839,0.89434,0.59453,0.38358,0.50475,0.14731,0.001505,0.001505,0.001505
