epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39739,1.99153,3.41706,1.74681,0.01931,0.48415,0.02077,0.00959,1.91397,3.29091,1.69456,4e-05,4e-05,4e-05
2,11.5333,1.90951,3.3806,1.71104,0.02333,0.58501,0.04052,0.01696,1.73319,3.20811,1.50441,9.901e-05,9.901e-05,9.901e-05
3,15.8292,1.68056,3.16249,1.50348,0.02862,0.71758,0.09117,0.04077,1.48141,3.15689,1.29176,0.000156832,0.000156832,0.000156832
4,20.0092,1.60965,2.93549,1.30196,0.03218,0.80692,0.24045,0.10488,1.56109,3.0595,1.22552,0.000213466,0.000213466,0.000213466
5,23.962,1.59301,2.55864,1.26935,0.03609,0.9049,0.28318,0.13546,1.59136,2.97748,1.19178,0.000268912,0.000268912,0.000268912
6,27.8279,1.52121,2.25473,1.19968,0.03609,0.9049,0.35606,0.17432,1.46984,2.93682,1.12731,0.00032317,0.00032317,0.00032317
7,31.996,1.52197,2.21828,1.20863,0.03678,0.92219,0.35369,0.16397,1.50248,2.87279,1.14369,0.00037624,0.00037624,0.00037624
8,36.0238,1.53131,1.86624,1.22875,0.03609,0.9049,0.39,0.19007,1.45301,2.85391,1.13103,0.000428122,0.000428122,0.000428122
9,40.2138,1.54903,1.83143,1.23503,0.03287,0.82421,0.42331,0.18639,1.45092,2.88844,1.17289,0.000478816,0.000478816,0.000478816
10,44.4916,1.46855,1.54716,1.20043,0.0641,0.68876,0.41223,0.1877,1.42665,2.83102,1.15356,0.000528322,0.000528322,0.000528322
11,48.1846,1.49556,1.47427,1.22871,0.26744,0.46398,0.38773,0.17984,1.40661,2.83789,1.15486,0.00057664,0.00057664,0.00057664
12,51.8726,1.49369,1.33656,1.1804,0.55185,0.36023,0.37825,0.18481,1.42618,2.81306,1.15414,0.00062377,0.00062377,0.00062377
